,6-RS
0,14.895
1,13.208
2,4.889
3,69.141
4,24.942
5,3.687
6,7.612
7,20.484
8,3.818
9,27.443
10,26.625
11,9.914
12,9.919
13,6.002
14,9.848
15,24.079
16,3.448
17,29.768
18,145.248
19,99.044
20,31.86
21,29.574
22,24.771
23,12.101
24,28.826
25,89.556
26,18.86
27,22.649
28,81.815
29,23.218
