,1-TP
0,0.686
1,0.678
2,0.641
3,0.699
4,0.671
5,0.701
6,0.686
7,0.717
8,0.661
9,0.702
10,0.677
11,0.667
12,0.688
13,0.705
14,0.909
15,0.728
16,0.657
17,0.69
18,0.711
19,0.677
20,0.695
21,0.729
22,0.694
23,0.748
24,0.693
25,0.686
26,0.67
27,0.667
28,0.683
29,0.641
