,3-PV
0,22.263
1,1.93
2,0.628
3,2.538
4,0.619
5,129.719
6,20.692
7,385.98
8,5.581
9,82.094
10,377.026
11,0.651
12,9.64
13,1.363
14,1.778
15,7.889
16,49.508
17,31.112
18,2.195
19,369.242
20,0.693
21,0.629
22,4.815
23,0.642
24,4.461
25,6.592
26,6.953
27,0.614
28,5.896
29,42.723
