,8-RS
0,372.753
1,57.325
2,164.79
3,733.802
4,137.207
5,1.172
6,744.663
7,357.241
8,167.837
9,74.672
10,53.663
11,69.932
12,89.89699999999999
13,81.593
14,135.676
15,0.591
16,351.971
17,53.372
18,351.44100000000003
19,0.66
20,139.625
21,65.436
22,0.59
23,84.132
24,348.152
25,118.286
26,0.607
27,38.103
28,140.984
29,312.441
