,1-RS
0,0.863
1,0.621
2,0.655
3,0.609
4,0.634
5,1.898
6,0.654
7,2.188
8,0.626
9,2.083
10,0.67
11,0.628
12,0.628
13,2.508
14,2.041
15,2.591
16,0.66
17,0.578
18,0.675
19,0.65
20,1.506
21,0.763
22,0.699
23,0.866
24,2.475
25,1.841
26,2.43
27,0.655
28,1.813
29,1.568
