,9-RS
0,5.795
1,7.408
2,40.126
3,17.824
4,41.877
5,41.223
6,8.868
7,41.692
8,8.213
9,348.859
10,7.749
11,41.826
12,22.498
13,406.31600000000003
14,27.331
15,7.237
16,60.339
17,42.708
18,43.847
19,8.71
20,75.56
21,65.326
22,57.694
23,55.358
24,54.174
25,15.074
26,11.703
27,54.17
28,55.949
29,52.547
