,4-RS
0,48.008
1,6.912
2,23.918
3,65.017
4,284.122
5,311.94
6,376.742
7,5.502
8,120.321
9,4.494
10,42.371
11,137.137
12,81.075
13,97.352
14,30.288
15,40.023
16,3.813
17,240.31
18,198.887
19,2.041
20,141.749
21,29.444
22,67.072
23,92.809
24,247.46
25,203.399
26,129.794
27,9.671
28,32.497
29,4.602
