,10-RS
0,140.537
1,23.98
2,384.009
3,350.96500000000003
4,114.215
5,155.972
6,164.275
7,138.358
8,29.545
9,104.91499999999999
10,11.729
11,353.731
12,351.606
13,383.577
14,118.642
15,10.651
16,369.133
17,17.694
18,240.373
19,7.088
20,26.43
21,11.597
22,209.724
23,79.498
24,345.415
25,13.192
26,120.192
27,190.85
28,74.247
29,141.775
