,5-RS
0,110.881
1,15.071
2,82.64699999999999
3,51.181
4,56.202
5,4.892
6,64.408
7,0.947
8,496.118
9,63.661
10,104.368
11,13.878
12,1.013
13,32.449
14,30.07
15,20.776
16,23.935
17,0.673
18,0.66
19,34.06
20,367.987
21,32.673
22,29.969
23,71.22
24,0.626
25,12.491
26,99.162
27,36.52
28,3.686
29,0.627
