,2-JV
0,35.174
1,32.848
2,120.045
3,34.668
4,0.593
5,1.208
6,58.308
7,0.673
8,156.791
9,158.679
10,381.055
11,1.624
12,0.709
13,365.853
14,120.246
15,9.633
16,286.06
17,116.805
18,35.687
19,55.876
20,1.879
21,1.525
22,257.257
23,34.822
24,111.15899999999999
25,0.624
26,13.219
27,159.772
28,280.378
29,6.824
