queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1838,1,1,65,69616758,0,2059,21895,94099
2,9.sparql,45,2,2,19,21013800,0,172,829,374
3,29.sparql,49,0,0,0,0,0,179,193,0
4,25.sparql,58,1,1,0,1011006,0,205,21368,146299
5,2.sparql,57,1,1,3,4828878,0,102,115,0
6,21.sparql,66,2,2,29,31385986,0,131,9089,54256
7,28.sparql,48,0,0,0,0,0,138,144,0
8,27.sparql,58,1,1,39,42187795,0,112,216,2
9,4.sparql,57,1,1,3,4828878,0,106,123,0
10,26.sparql,61,2,2,22,25086526,0,141,226,45
11,17.sparql,69,1,1,0,295414,0,114,137,68
12,23.sparql,70,0,0,0,0,0,149,155,0
13,3.sparql,66,2,2,14,15295070,0,141,195,16
14,20.sparql,65,1,1,3,4828878,0,106,121,0
15,0.sparql,69,2,2,14,15295070,0,150,205,22
16,1.sparql,76,2,2,29,32116185,0,162,1914,191
17,19.sparql,76,2,2,22,25086526,0,146,302,250
18,13.sparql,83,1,1,20,21461779,0,134,506,13
19,16.sparql,82,1,1,0,403627,0,127,139,35
20,5.sparql,78,1,1,0,403627,0,116,131,46
21,7.sparql,78,1,1,1,2480321,0,141,149,0
22,15.sparql,84,1,1,39,42187795,0,123,236,0
23,12.sparql,85,1,1,0,464161,0,126,192,635
24,22.sparql,85,1,1,0,403627,0,125,134,25
25,11.sparql,82,2,2,28,29946065,0,149,11588,1667
26,8.sparql,99,2,2,22,25086526,0,168,267,146
27,18.sparql,101,2,2,14,15295070,0,159,211,22
28,24.sparql,93,2,2,19,21013800,0,147,499,361
29,6.sparql,96,1,1,14,15001037,0,136,177,0
30,10.sparql,103,2,2,14,15295070,0,160,217,90
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
39,39,433,482319275,114,72941
