,No. of Results Size (RS),Avg. queries exection time(sec)
0,1,0.2009
1,2,1.4737
2,3,4.056433333333334
3,4,5.449866666666667
4,5,4.759600000000001
5,6,2.0196333333333336
6,7,2.9588666666666668
7,8,2.084366666666667
8,9,1.7527333333333333
9,10,3.010766666666667
