,3-JV
0,10853.0
1,8318.0
2,2906.0
3,83.0
4,101.0
5,196.0
6,152.0
7,87.0
8,1399.0
9,97.0
10,153.0
11,127.0
12,93.0
13,90.0
14,137.0
15,228.0
16,141.0
17,76.0
18,228.0
19,207.0
20,4602.0
21,125.0
22,5029.0
23,1341.0
24,114.0
25,119.0
26,119.0
27,65.0
28,118.0
29,8834.0
