queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1761,1,1,7,7458139,0,1942,6952,62105
2,9.sparql,44,1,1,13,14182579,0,85,4057,74788
3,29.sparql,50,1,1,9,10265427,0,99,2263,98624
4,25.sparql,33,1,1,0,871628,0,78,227,2303
5,2.sparql,64,1,1,7,7458139,0,108,6377,117092
6,21.sparql,36,1,1,9,10265427,0,66,2086,98756
7,28.sparql,37,1,1,9,10265427,0,71,2027,97123
8,27.sparql,40,1,1,9,10265427,0,71,2037,97454
9,4.sparql,42,1,1,9,10265427,0,69,2041,99159
10,26.sparql,42,1,1,0,871628,0,68,125,1878
11,17.sparql,52,1,1,9,10265427,0,78,2065,97634
12,23.sparql,46,1,1,9,10265427,0,70,2015,97273
13,3.sparql,55,1,1,0,871628,0,88,226,3444
14,20.sparql,49,1,1,9,10265427,0,73,2928,146996
15,0.sparql,53,1,1,0,871628,0,85,129,877
16,1.sparql,70,1,1,14,15718773,0,107,268,782
17,19.sparql,82,1,1,14,15718773,0,131,327,884
18,13.sparql,118,1,1,7,7458139,0,153,2419,42461
19,16.sparql,65,1,1,13,14182579,0,100,11188,225094
20,5.sparql,70,1,1,9,10265427,0,96,2073,97992
21,7.sparql,68,1,1,9,10265427,0,92,2057,97273
22,15.sparql,75,1,1,0,871628,0,98,138,1146
23,12.sparql,72,1,1,9,10265427,0,95,1102,48694
24,22.sparql,69,1,1,9,10265427,0,89,2056,98014
25,11.sparql,87,1,1,9,10265427,0,109,2055,96302
26,8.sparql,74,1,1,14,15718773,0,106,225,877
27,18.sparql,75,1,1,9,10265427,0,94,2039,98483
28,24.sparql,80,1,1,9,10265427,0,100,2094,96763
29,6.sparql,82,1,1,0,871628,0,104,155,1524
30,10.sparql,81,1,1,0,871628,0,102,163,1312
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
30,30,224,257978695,82,65068
