,8k-RS
0,2438.0
1,1537.0
2,537.0
3,2194.0
4,1753.0
5,1295.0
6,1748.0
7,355.0
8,1438.0
9,176.0
10,572.0
11,1375.0
12,7438.0
13,357.0
14,7439.0
15,605.0
16,71.0
17,732.0
18,3275.0
19,82.0
20,6348.0
21,91.0
22,943.0
23,102.0
24,664.0
25,2385.0
26,3385.0
27,7348.0
28,5395.0
29,453.0
