,No. of Join Vertices (JV),Avg. queries exection time(sec)
0,1,0.6912333333333334
1,2,1.3076333333333334
2,3,1.5379333333333334
3,4,1.5558333333333332
4,5,1.7297142857142858
5,6,1.0804736842105263
