queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1722,1,1,20,21461779,0,1935,2861,17
2,9.sparql,59,1,1,4,4860998,0,153,231,9
3,29.sparql,38,1,1,20,21461779,0,113,611,11
4,25.sparql,30,1,1,4,4860998,0,83,114,6
5,2.sparql,52,1,1,2,2345982,0,110,120,0
6,21.sparql,48,1,1,3,4828878,0,89,106,0
7,28.sparql,44,1,1,20,21461779,0,91,448,9
8,27.sparql,40,1,1,39,42187795,0,79,155,2
9,4.sparql,43,2,2,31,33459151,0,87,157,1
10,26.sparql,45,1,1,20,21461779,0,91,584,19
11,17.sparql,38,1,1,7,8560812,0,53,70,0
12,23.sparql,44,1,1,3,4828878,0,96,112,45
13,3.sparql,44,1,1,3,4828878,0,78,88,0
14,20.sparql,42,1,1,20,21461779,0,81,290,11
15,0.sparql,44,1,1,13,14811611,0,58,97,40
16,1.sparql,46,1,1,3,4828878,0,78,89,0
17,19.sparql,47,1,1,1,2485671,0,67,75,0
18,13.sparql,50,1,1,6,7692817,0,96,127,44
19,16.sparql,57,1,1,3,4828878,0,89,99,0
20,5.sparql,50,1,1,20,21461779,0,88,364,13
21,7.sparql,45,1,1,6,7692817,0,86,120,41
22,15.sparql,60,1,1,0,576131,0,128,133,0
23,12.sparql,58,1,1,39,42187795,0,92,170,2
24,22.sparql,54,1,1,9,10717389,0,80,107,1
25,11.sparql,54,1,1,1,2485671,0,78,88,0
26,8.sparql,65,1,1,1,2485671,0,85,94,0
27,18.sparql,67,2,2,31,33459151,0,107,178,3
28,24.sparql,71,1,1,4,4860998,0,112,138,11
29,6.sparql,67,1,1,39,42187795,1,101,173,0
30,10.sparql,71,1,1,3,4828878,0,102,115,0
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
32,32,375,425663195,45,9277
