,9k-RS
0,4385.0
1,3856.0
2,2184.0
3,227.0
4,5385.0
5,1094.0
6,1837.0
7,1546.0
8,1846.0
9,125.0
10,1746.0
11,1746.0
12,226.0
13,2456.0
14,129.0
15,268.0
16,327.0
17,2419.0
18,8739.0
19,1847.0
20,1648.0
21,138.0
22,987.0
23,1947
24,1746.0
25,225.0
26,1748.0
27,1437.0
28,155.0
29,163.0
