queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1860,2,2,32,34853326,0,2523,2844,0
2,9.sparql,56,3,3,36,39482177,0,479,1513,0
3,29.sparql,65,3,3,36,39482177,0,382,1018,0
4,25.sparql,54,3,3,36,39482177,0,311,628,0
5,2.sparql,67,3,3,36,39482177,0,305,558,0
6,21.sparql,51,2,2,32,34853326,0,265,371,0
7,28.sparql,48,2,2,9,11811345,0,154,11286,83
8,27.sparql,66,1,1,0,1385311,0,152,8998,254
9,4.sparql,80,2,2,9,11811345,0,175,35876,338
10,26.sparql,101,2,2,32,34853326,0,424,571,0
11,17.sparql,74,3,3,36,39482177,0,257,715,0
12,23.sparql,87,3,3,36,39482177,0,232,1102,0
13,3.sparql,123,3,3,36,39482177,0,333,793,0
14,20.sparql,76,2,2,32,34853326,0,217,320,0
15,0.sparql,73,3,3,36,39482177,0,219,574,0
16,1.sparql,76,1,1,0,1385311,0,134,12649,480
17,19.sparql,112,3,3,36,39482177,0,318,829,0
18,13.sparql,72,3,3,36,39482177,0,214,350,0
19,16.sparql,88,3,3,36,39482177,0,230,627,0
20,5.sparql,93,2,2,32,34853326,0,235,331,0
21,7.sparql,94,2,2,9,11811345,0,162,58797,608
22,15.sparql,130,2,2,9,11811345,0,251,17383,139
23,12.sparql,99,1,1,0,1385311,0,163,7300,203
24,22.sparql,95,3,3,36,39482177,0,238,480,0
25,11.sparql,102,1,1,0,1385311,0,159,17064,1012
26,8.sparql,94,1,1,0,1385311,0,155,4812,239
27,18.sparql,106,2,2,32,34853326,0,271,376,0
28,24.sparql,100,1,1,0,1385311,0,154,21816,894
29,6.sparql,102,3,3,36,39482177,0,267,458,0
30,10.sparql,116,2,2,9,11811345,0,186,19988,212
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
67,67,705,789756848,19872,231751
