,7k-RS
0,8452.0
1,110.0
2,497.0
3,2097.0
4,23097.0
5,11563.0
6,148.0
7,122.0
8,2538.0
9,105.0
10,1379.0
11,2985.0
12,188.0
13,2319.0
14,9847.0
15,149.0
16,1489.0
17,2985.0
18,2869.0
19,255.0
20,2749.0
21,3747.0
22,137.0
23,96.0
24,176.0
25,2758.0
26,197.0
27,2849.0
28,2749.0
29,114.0
