,1-PV
0,1323.0
1,56.0
2,67.0
3,41.0
4,49.0
5,37.0
6,49.0
7,51.0
8,53.0
9,48.0
10,50.0
11,39.0
12,41.0
13,48.0
14,51.0
15,54.0
16,46.0
17,47.0
18,29.0
19,54.0
20,35.0
21,45.0
22,31.0
23,48.0
24,36.0
25,42.0
26,41.0
27,42.0
28,28.0
29,50.0
