,1-PV,2-PV,3-PV,4-PV,5-PV,6-PV,7-PV,8-PV,9-PV,10-PV
0,1.323,2.749,1.509,1.748,18.204,2.031,3.058,2.031,2.005,2.143
1,0.056,0.128,2.145,0.572,0.808,0.128,0.263,10.202,5.978,1.153
2,0.067,0.663,0.108,0.138,0.193,0.487,0.413,1.071,0.863,1.007
3,0.041,0.219,2.145,0.267,15.297,0.475,3.186,0.691,2.127,0.621
4,0.049,0.181,0.043,0.128,0.115,0.184,0.262,1.025,1.081,0.251
5,0.037,0.167,0.074,1.519,7.708,0.19,0.14,0.729,7.049,0.371
6,0.049,0.387,0.298,0.341,0.144,0.135,0.209,0.557,1.034,8.216
7,0.051,0.137,0.081,3.425,0.206,0.15,0.169,1.037,4.143,5.903
8,0.053,0.083,0.09,0.285,0.123,0.121,0.181,0.926,0.164,20.714
9,0.048,0.075,3.838,0.152,0.226,0.138,0.19,0.708,1.067,0.571
10,0.05,0.127,25.871,0.169,0.137,0.101,0.142,0.709,0.187,0.715
11,0.039,0.107,0.11,0.084,0.155,0.62,0.143,0.56,0.229,1.102
12,0.041,0.143,0.072,0.23,0.138,0.107,0.143,0.507,0.195,0.793
13,0.048,0.137,0.072,0.084,0.121,0.125,0.208,0.155,4.509,0.32
14,0.051,0.131,0.082,0.385,0.205,0.109,0.109,0.697,0.177,0.574
15,0.054,0.109,0.163,0.258,1.391,0.307,0.138,0.276,0.159,9.149
16,0.046,0.089,3.059,6.413,0.302,0.13,0.156,0.168,0.137,0.829
17,0.047,0.11,0.168,0.205,0.506,0.109,11.319,0.414,0.174,0.35
18,0.029,0.27,0.098,0.135,0.121,0.127,8.202,0.539,0.209,0.627
19,0.054,0.84,1.066,0.104,0.105,10.919,0.118,0.612,0.21,0.331
20,0.035,5.213,7.743,0.174,0.138,4.047,0.093,0.618,8.504,50.713
21,0.045,0.179,0.181,0.131,0.215,0.877,0.091,0.406,10.957,17.383
22,0.031,0.19,0.143,0.101,0.192,4.386,3.012,1.276,0.292,5.919
23,0.048,0.148,0.578,0.122,0.134,0.13,0.097,0.487,0.315,0.48
24,0.036,0.206,0.115,0.08,8.598,0.204,0.144,0.37,0.379,13.074
25,0.042,0.301,0.08,0.104,0.267,0.141,0.104,10.493,1.075,4.292
26,0.041,0.317,0.108,0.114,0.211,0.335,0.109,0.704,0.284,0.376
27,0.042,0.217,0.597,0.255,0.472,0.144,0.101,0.861,1.274,17.426
28,0.028,0.467,0.331,0.115,0.177,0.247,0.107,1.059,1.128,0.458
29,0.05,0.128,4.253,,0.217,0.126,0.112,0.328,1.291,17.908
mean,0.0877,0.4739333333333333,1.8407,0.615103448275862,1.8942,0.911,1.0906333333333333,1.3405333333333334,1.9065333333333334,6.125633333333333
