,1-JV,2-JV,3-JV,4-JV,5-JV,6-JV
0,1.297,1.704,2.12,2.137,1.948,1.614
1,0.108,0.535,0.325,0.506,0.505,0.337
2,0.16,0.234,0.611,0.491,0.499,0.272
3,0.115,0.115,0.104,0.45,0.534,0.332
4,0.118,0.263,0.106,0.397,0.535,0.258
5,0.085,0.357,0.267,0.417,0.39,0.264
6,0.252,0.272,0.218,0.416,0.503,0.21
7,0.079,0.439,0.076,0.266,0.304,0.213
8,0.173,0.082,0.588,0.262,0.298,0.196
9,0.066,0.158,0.118,0.275,0.3,0.157
10,2.545,0.272,0.152,0.333,0.288,0.181
11,0.358,0.159,0.259,0.313,0.269,0.161
12,0.07,0.106,0.079,0.238,0.204,0.157
13,0.091,0.417,0.089,0.285,0.247,0.171
14,0.061,0.093,0.13,0.273,,0.157
15,0.123,0.356,0.187,0.235,,0.155
16,0.082,1.408,0.067,0.262,,0.178
17,0.082,0.065,0.071,0.246,,0.178
18,0.138,0.099,0.179,0.264,,0.17
19,0.083,0.181,0.182,0.253,,
20,0.07,0.068,0.08,0.288,,
21,0.123,0.092,1.373,0.283,,
22,0.225,0.076,0.089,0.246,,
23,0.079,1.495,0.322,0.262,,
24,0.081,0.192,0.156,0.261,,
25,0.095,0.2,0.08,0.263,,
26,0.112,0.081,0.092,0.258,,
27,0.071,0.07,0.098,0.283,,
28,0.092,0.118,0.079,0.284,,
29,0.069,0.13,1.66,0.291,,
mean,0.23676666666666668,0.32789999999999997,0.3319,0.36793333333333333,0.48742857142857143,0.2821578947368421
