,10-TP
0,4320.0
1,305.0
2,1072.0
3,336.0
4,243.0
5,234.0
6,226.0
7,227.0
8,239.0
9,282.0
10,282.0
11,905.0
12,262.0
13,254.0
14,257.0
15,1362.0
16,220.0
17,243.0
18,256.0
19,6946.0
20,535.0
21,281.0
22,811.0
23,289.0
24,1841.0
25,220.0
26,211.0
27,2327.0
28,3690.0
29,1556.0
