queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1001,1,1,0,125438,0,1205,3586,170
2,9.sparql,24,1,1,0,675058,0,89,115,29
3,29.sparql,19,1,1,0,675058,0,76,102,61
4,25.sparql,14,1,1,0,675058,0,72,100,69
5,2.sparql,36,2,2,0,973630,0,118,145,54
6,21.sparql,44,1,1,0,251545,0,101,106,0
7,28.sparql,19,1,1,0,675058,0,68,99,43
8,27.sparql,18,1,1,0,675058,0,83,111,54
9,4.sparql,27,1,1,0,675058,0,75,91,24
10,26.sparql,15,1,1,0,96711,0,119,124,0
11,17.sparql,22,1,1,0,96711,0,131,134,0
12,23.sparql,17,2,2,0,1202420,0,136,146,0
13,3.sparql,26,1,1,0,251545,0,71,74,0
14,20.sparql,28,1,1,0,251545,0,74,78,0
15,0.sparql,21,1,1,0,251545,0,78,83,0
16,1.sparql,20,1,1,0,251545,0,70,74,0
17,19.sparql,19,1,1,0,675058,0,72,108,54
18,13.sparql,49,2,2,0,1202420,0,162,171,0
19,16.sparql,30,1,1,0,251545,0,74,78,0
20,5.sparql,22,1,1,0,251545,0,66,111,12
21,7.sparql,27,1,1,0,251545,0,71,74,0
22,15.sparql,23,1,1,0,125438,0,67,1284,245
23,12.sparql,24,1,1,0,96711,0,102,105,0
24,22.sparql,21,1,1,0,96711,0,113,116,0
25,11.sparql,29,1,1,0,675058,0,71,81,10
26,8.sparql,28,1,1,0,251545,0,69,143,0
27,18.sparql,26,1,1,0,675058,0,68,78,10
28,24.sparql,44,1,1,0,251545,0,82,85,0
29,6.sparql,30,1,1,0,251545,0,74,77,0
30,10.sparql,28,1,1,0,125438,0,71,631,111
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
33,33,0,12984145,603,9399
