,3-JV
0,2120.0
1,325.0
2,611.0
3,104.0
4,106.0
5,267.0
6,218.0
7,76.0
8,588.0
9,118.0
10,152.0
11,259.0
12,79.0
13,89.0
14,130.0
15,187.0
16,67.0
17,71.0
18,179.0
19,182.0
20,80.0
21,1373.0
22,89.0
23,322.0
24,156.0
25,80.0
26,92.0
27,98.0
28,79.0
29,1660.0
