,3-TP
0,1317.0
1,143.0
2,130.0
3,353.0
4,251.0
5,89.0
6,4093.0
7,79.0
8,273.0
9,226.0
10,160.0
11,2351.0
12,43.0
13,143.0
14,69.0
15,80.0
16,63.0
17,61.0
18,65.0
19,87.0
20,1784.0
21,111.0
22,57.0
23,328.0
24,55.0
25,59.0
26,53.0
27,59.0
28,286.0
29,52.0
