queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1001,3,3,1,3694163,0,1693,2093,0
2,9.sparql,70,3,3,1,3694163,0,463,580,0
3,29.sparql,53,2,2,1,3244118,0,379,410,0
4,25.sparql,61,3,3,1,3694163,0,318,369,0
5,2.sparql,45,3,3,1,3694163,0,338,378,0
6,21.sparql,58,2,2,1,3244118,0,290,309,0
7,28.sparql,34,2,2,0,1071734,0,129,1404,4
8,27.sparql,34,1,1,0,125438,0,102,1182,18
9,4.sparql,35,2,2,0,1071734,0,147,4580,33
10,26.sparql,31,3,3,1,3694163,0,203,304,0
11,17.sparql,27,3,3,1,3694163,0,197,247,0
12,23.sparql,30,3,3,1,3694163,0,195,254,0
13,3.sparql,31,3,3,1,3694163,0,198,254,0
14,20.sparql,32,3,3,1,3694163,0,185,211,0
15,0.sparql,35,3,3,1,3694163,0,213,257,0
16,1.sparql,35,1,1,0,125438,0,97,1356,41
17,19.sparql,38,3,3,1,3694163,0,213,230,0
18,13.sparql,44,3,3,1,3694163,0,197,238,0
19,16.sparql,47,3,3,1,3694163,0,210,228,0
20,5.sparql,49,3,3,1,3694163,0,244,268,0
21,7.sparql,51,2,2,0,1071734,0,129,6822,67
22,15.sparql,44,2,2,0,1071734,0,114,1405,12
23,12.sparql,57,1,1,0,125438,0,119,790,21
24,22.sparql,41,3,3,1,3694163,0,195,294,0
25,11.sparql,39,1,1,0,125438,0,96,1889,48
26,8.sparql,45,1,1,0,125438,0,98,520,8
27,18.sparql,52,3,3,1,3694163,0,211,263,0
28,24.sparql,43,1,1,0,125438,0,100,2265,79
29,6.sparql,47,3,3,1,3694163,0,196,225,0
30,10.sparql,49,2,2,0,1071734,0,124,1545,18
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
71,71,19,75400305,1496,32297
