,No. of Join Vertices (JV),Avg. queries exection time(sec)
0,1,0.23676666666666668
1,2,0.32789999999999997
2,3,0.3319
3,4,0.36793333333333333
4,5,0.48742857142857143
5,6,0.2821578947368421
