,9k-RS
0,2193.0
1,1189.0
2,496.0
3,112.0
4,1268.0
5,369.0
6,336.0
7,350.0
8,292.0
9,57.0
10,271.0
11,272.0
12,69.0
13,395.0
14,45.0
15,85.0
16,96.0
17,379.0
18,1337.0
19,258.0
20,243.0
21,61.0
22,155.0
23,266.0
24,260.0
25,78.0
26,262.0
27,232.0
28,62.0
29,69.0
