queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,987,1,1,1,1996964,0,1194,1963,10
2,9.sparql,61,1,1,0,448843,0,122,165,8
3,29.sparql,61,1,1,1,1996964,0,132,652,12
4,25.sparql,17,1,1,0,448843,0,87,116,7
5,2.sparql,38,1,1,0,251545,0,112,118,0
6,21.sparql,50,1,1,0,481365,0,97,103,0
7,28.sparql,36,1,1,1,1996964,0,95,519,14
8,27.sparql,25,1,1,3,4200521,0,62,82,2
9,4.sparql,40,2,2,1,3181013,0,81,97,4
10,26.sparql,27,1,1,1,1996964,0,69,289,10
11,17.sparql,20,1,1,0,777082,0,33,39,0
12,23.sparql,23,1,1,0,481365,0,58,63,0
13,3.sparql,27,1,1,0,481365,0,66,73,28
14,20.sparql,23,1,1,1,1996964,0,67,333,9
15,0.sparql,19,1,1,0,1320736,0,31,42,24
16,1.sparql,24,1,1,0,481365,0,66,70,0
17,19.sparql,26,1,1,0,223435,0,49,53,0
18,13.sparql,23,1,1,0,675058,0,70,83,10
19,16.sparql,19,1,1,0,481365,0,54,59,0
20,5.sparql,23,1,1,1,1996964,0,65,341,15
21,7.sparql,28,1,1,0,675058,0,70,83,24
22,15.sparql,41,1,1,0,61653,0,84,87,0
23,12.sparql,26,1,1,3,4200521,0,58,73,2
24,22.sparql,31,1,1,0,981973,0,56,62,2
25,11.sparql,31,1,1,0,223435,0,52,56,0
26,8.sparql,35,1,1,0,223435,0,65,69,0
27,18.sparql,32,2,2,1,3181013,0,77,89,1
28,24.sparql,35,1,1,0,448843,0,71,83,11
29,6.sparql,38,1,1,3,4200521,0,68,82,4
30,10.sparql,37,1,1,0,481365,0,68,71,0
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
32,32,17,40593502,34,7205
