,3k-RS
0,1279.0
1,448.0
2,557.0
3,1445.0
4,115.0
5,76.0
6,134.0
7,94.0
8,154.0
9,281.0
10,2179.0
11,185.0
12,73.0
13,83.0
14,272.0
15,224.0
16,128.0
17,4675.0
18,60.0
19,1289.0
20,207.0
21,6801.0
22,96.0
23,188.0
24,75.0
25,97.0
26,49.0
27,421.0
28,98.0
29,452.0
