queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1064,1,1,0,671264,0,1224,2193,6189
2,9.sparql,44,1,1,0,1257217,0,88,1189,7456
3,29.sparql,65,1,1,0,876919,0,117,496,9763
4,25.sparql,42,1,1,0,85900,0,93,112,251
5,2.sparql,56,1,1,0,671264,0,117,1268,11735
6,21.sparql,52,1,1,0,876919,0,95,369,9580
7,28.sparql,38,1,1,0,876919,0,79,336,10195
8,27.sparql,21,1,1,0,876919,0,46,350,9432
9,4.sparql,27,1,1,0,876919,0,55,292,9694
10,26.sparql,17,1,1,0,85900,0,48,57,191
11,17.sparql,33,1,1,0,876919,0,58,271,9918
12,23.sparql,21,1,1,0,876919,0,48,272,9668
13,3.sparql,19,1,1,0,85900,0,47,69,367
14,20.sparql,54,1,1,0,876919,0,81,395,15499
15,0.sparql,21,1,1,0,85900,0,40,45,86
16,1.sparql,37,1,1,0,1460171,0,67,85,87
17,19.sparql,40,1,1,0,1460171,0,78,96,81
18,13.sparql,46,1,1,0,671264,0,67,379,4205
19,16.sparql,46,1,1,0,1257217,0,67,1337,22370
20,5.sparql,38,1,1,0,876919,0,60,258,9629
21,7.sparql,26,1,1,0,876919,0,46,243,10019
22,15.sparql,39,1,1,0,85900,0,56,61,97
23,12.sparql,34,1,1,0,876919,0,52,155,4733
24,22.sparql,42,1,1,0,876919,0,57,266,9869
25,11.sparql,32,1,1,0,876919,0,55,260,9909
26,8.sparql,35,1,1,0,1460171,0,61,78,79
27,18.sparql,47,1,1,0,876919,0,63,262,9598
28,24.sparql,34,1,1,0,876919,0,50,232,9321
29,6.sparql,34,1,1,0,85900,0,56,62,148
30,10.sparql,43,1,1,0,85900,0,64,69,116
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
30,30,0,22663824,26,12749
