queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1026,1,1,1,1996964,0,1201,2177,2451
2,9.sparql,61,1,1,0,1393817,0,147,577,1816
3,29.sparql,44,1,1,0,65233,0,113,211,218
4,25.sparql,29,1,1,1,1996964,0,86,611,2413
5,2.sparql,38,1,1,0,971300,0,96,2967,12602
6,21.sparql,25,0,0,0,0,0,101,112,0
7,28.sparql,34,0,0,0,0,0,100,109,0
8,27.sparql,16,1,1,0,1393817,0,82,1016,9150
9,4.sparql,14,1,1,1,1996964,0,53,428,2483
10,26.sparql,23,1,1,0,1393817,0,92,334,1514
11,17.sparql,24,1,1,1,1996964,0,75,265,1180
12,23.sparql,23,1,1,1,1996964,0,67,336,2360
13,3.sparql,15,1,1,0,1460171,0,44,62,73
14,20.sparql,18,1,1,1,1996964,0,49,283,2452
15,0.sparql,16,1,1,0,971300,0,45,568,4193
16,1.sparql,21,0,0,0,0,0,62,67,0
17,19.sparql,19,1,1,0,65233,0,48,130,649
18,13.sparql,21,1,1,1,1996964,0,62,300,2472
19,16.sparql,19,1,1,1,1996964,0,46,259,2315
20,5.sparql,20,1,1,0,1460171,0,40,52,68
21,7.sparql,19,1,1,1,1996964,0,52,284,2389
22,15.sparql,19,1,1,1,1996964,0,48,274,2377
23,12.sparql,19,0,0,0,0,0,58,64,0
24,22.sparql,17,0,0,0,0,0,57,62,0
25,11.sparql,20,1,1,0,1460171,0,44,55,60
26,8.sparql,21,1,1,1,1996964,0,47,313,2494
27,18.sparql,22,0,0,0,0,0,64,68,0
28,24.sparql,20,1,1,1,1996964,0,51,362,2427
29,6.sparql,22,1,1,1,1996964,0,53,269,2305
30,10.sparql,21,0,0,0,0,0,58,63,0
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
23,23,13,36595562,42,13867
