,6-PV
0,1607.0
1,165.0
2,202.0
3,197.0
4,131.0
5,151.0
6,123.0
7,117.0
8,155.0
9,140.0
10,117.0
11,162.0
12,83.0
13,92.0
14,97.0
15,91.0
16,82.0
17,72.0
18,91.0
19,1045.0
20,564.0
21,184.0
22,1395.0
23,74.0
24,81.0
25,72.0
26,83.0
27,73.0
28,135.0
29,75.0
