,1k-RS
0,1963.0
1,165.0
2,152.0
3,116.0
4,118.0
5,103.0
6,219.0
7,32.0
8,17.0
9,189.0
10,39.0
11,23.0
12,33.0
13,333.0
14,42.0
15,70.0
16,23.0
17,13.0
18,59.0
19,341.0
20,83.0
21,87.0
22,73.0
23,22.0
24,56.0
25,19.0
26,89.0
27,33.0
28,12.0
29,11.0
