,2k-RS
0,1978.0
1,110.0
2,226.0
3,372.0
4,250.0
5,386.0
6,421.0
7,216.0
8,121.0
9,1301.0
10,234.0
11,168.0
12,127.0
13,193.0
14,281.0
15,50.0
16,283.0
17,1235.0
18,71.0
19,17.0
20,163.0
21,139.0
22,130.0
23,120.0
24,174.0
25,19.0
26,178.0
27,205.0
28,68.0
29,78.0
