,1-TP
0,1114.0
1,54.0
2,57.0
3,38.0
4,34.0
5,31.0
6,45.0
7,38.0
8,47.0
9,44.0
10,50.0
11,47.0
12,48.0
13,37.0
14,42.0
15,55.0
16,38.0
17,37.0
18,35.0
19,40.0
20,41.0
21,41.0
22,39.0
23,43.0
24,41.0
25,40.0
26,36.0
27,33.0
28,31.0
29,38.0
