,5k-RS
0,1394.0
1,189.0
2,196.0
3,108.0
4,2259.0
5,137.0
6,55.0
7,3339.0
8,73.0
9,59.0
10,78.0
11,61.0
12,2589.0
13,75.0
14,343.0
15,60.0
16,75.0
17,2776.0
18,89.0
19,48.0
20,80.0
21,53.0
22,293.0
23,3008.0
24,52.0
25,187.0
26,77.0
27,851.0
28,83.0
29,2299.0
