,4k-RS
0,6542.0
1,154.0
2,47.0
3,991.0
4,79.0
5,3069.0
6,136.0
7,56.0
8,69.0
9,55.0
10,495.0
11,82.0
12,63.0
13,89.0
14,95.0
15,51.0
16,54.0
17,792.0
18,59.0
19,458.0
20,184.0
21,73.0
22,437.0
23,7546.0
24,67.0
25,59.0
26,311.0
27,792.0
28,1750.0
29,71.0
