,No. of Results Size (RS),Avg. queries exection time(sec)
0,1,0.15116666666666664
1,2,0.3104666666666666
2,3,0.7411666666666666
3,4,0.8242
4,5,0.6995333333333333
5,6,0.38876666666666665
6,7,0.42260000000000003
7,8,0.42246666666666666
8,9,0.38523333333333337
9,10,0.37226666666666663
