,8k-RS
0,1349.0
1,1185.0
2,174.0
3,1028.0
4,447.0
5,536.0
6,190.0
7,83.0
8,592.0
9,78.0
10,86.0
11,249.0
12,1019.0
13,64.0
14,157.0
15,207.0
16,59.0
17,205.0
18,872.0
19,48.0
20,429.0
21,51.0
22,852.0
23,49.0
24,277.0
25,50.0
26,700.0
27,720.0
28,359.0
29,559.0
