queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1002,2,2,0,364824,0,1350,1612,7
2,9.sparql,47,3,3,2,4108735,0,279,2873,13
3,29.sparql,34,2,2,2,3556921,0,217,378,414
4,25.sparql,30,2,2,2,3556921,0,204,337,418
5,2.sparql,21,2,2,2,3556921,0,177,303,482
6,21.sparql,34,2,2,0,919299,0,188,309,17
7,28.sparql,34,2,2,2,3556921,0,188,290,384
8,27.sparql,31,2,2,2,3556921,0,164,231,371
9,4.sparql,30,2,2,0,919299,0,140,277,8
10,26.sparql,34,2,2,0,919299,0,133,217,16
11,17.sparql,25,2,2,2,3556921,0,137,231,404
12,23.sparql,19,2,2,2,3556921,0,124,185,370
13,3.sparql,22,2,2,2,3556921,0,123,199,390
14,20.sparql,22,0,0,0,0,0,138,145,0
15,0.sparql,18,2,2,0,919299,0,116,181,7
16,1.sparql,23,2,2,0,364824,0,103,131,7
17,19.sparql,24,0,0,0,0,0,136,141,0
18,13.sparql,21,2,2,0,364824,0,101,125,13
19,16.sparql,27,2,2,0,919299,0,112,168,7
20,5.sparql,24,2,2,0,919299,0,112,178,4
21,7.sparql,23,2,2,2,3556921,0,130,192,437
22,15.sparql,20,2,2,0,364824,0,83,108,12
23,12.sparql,24,1,1,0,26383,0,101,133,0
24,22.sparql,22,2,2,0,919299,0,96,156,4
25,11.sparql,23,2,2,0,364824,0,90,109,7
26,8.sparql,24,0,0,0,0,0,124,128,0
27,18.sparql,18,2,2,0,919299,0,92,136,15
28,24.sparql,29,2,2,0,919299,0,103,178,7
29,6.sparql,26,1,1,0,607088,0,132,399,1088
30,10.sparql,29,2,2,0,364824,0,92,121,15
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
53,53,20,47217130,92,11284
