queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,988,1,1,0,250016,0,1199,2120,174
2,9.sparql,66,0,0,0,0,0,314,325,0
3,29.sparql,52,2,2,0,1222934,0,148,611,2325
4,25.sparql,31,1,1,0,250016,0,98,104,0
5,2.sparql,40,0,0,0,0,0,92,106,0
6,21.sparql,43,1,1,0,905600,0,248,267,0
7,28.sparql,51,0,0,0,0,0,212,218,0
8,27.sparql,21,1,1,0,137335,0,72,76,0
9,4.sparql,18,1,1,0,607088,0,166,588,1088
10,26.sparql,29,0,0,0,0,0,112,118,0
11,17.sparql,31,1,1,0,96711,0,148,152,0
12,23.sparql,42,1,1,0,905600,0,243,259,0
13,3.sparql,22,1,1,0,250016,0,75,79,0
14,20.sparql,29,0,0,0,0,0,73,89,0
15,0.sparql,21,1,1,0,96711,0,126,130,0
16,1.sparql,28,1,1,0,905600,0,178,187,0
17,19.sparql,29,1,1,2,2949833,0,56,67,0
18,13.sparql,34,1,1,2,2949833,0,60,71,0
19,16.sparql,36,1,1,0,905600,0,169,179,0
20,5.sparql,32,1,1,0,905600,0,173,182,0
21,7.sparql,34,0,0,0,0,0,70,80,0
22,15.sparql,39,1,1,0,675058,0,100,1373,6993
23,12.sparql,40,0,0,0,0,0,79,89,0
24,22.sparql,39,2,2,0,1222934,0,96,322,2853
25,11.sparql,34,1,1,0,675058,0,95,156,512
26,8.sparql,43,1,1,0,137335,0,77,80,0
27,18.sparql,40,1,1,0,250016,0,88,92,0
28,24.sparql,44,1,1,0,250016,0,91,98,0
29,6.sparql,40,1,1,0,137335,0,76,79,0
30,10.sparql,43,3,3,2,4108735,0,145,1660,13
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
27,27,6,20794980,1617,11119
