,1-RS
0,0.116
1,0.097
2,0.097
3,0.107
4,0.099
5,0.098
6,0.11
7,0.106
8,0.107
9,0.103
10,0.097
11,0.093
12,0.09
13,0.094
14,0.109
15,0.091
16,0.097
17,0.101
18,0.093
19,0.099
20,0.097
21,0.099
22,0.089
23,0.097
24,0.106
25,0.101
26,0.085
27,0.091
28,0.095
29,0.11
