,3-TP
0,0.495
1,0.66
2,8.204
3,0.142
4,49.565
5,0.608
6,22.772
7,604.534
8,0.798
9,0.142
10,12.177
11,3.291
12,5.698
13,0.124
14,2.23
15,300.33
16,2.914
17,1.203
18,0.132
19,0.133
20,1.292
21,0.155
22,134.113
23,0.133
24,9.22
25,1.837
26,2.323
27,2.008
28,14.036
29,0.647
