,2-JV
0,3.859
1,4.665
2,9.356
3,3.892
4,0.124
5,0.36
6,9.82
7,0.123
8,13.055
9,14.189
10,267.699
11,0.525
12,0.183
13,53.738
14,15.426
15,2.493
16,11.512
17,15.2
18,6.269
19,3.248
20,0.572
21,0.483
22,1080.293
23,5.985
24,9.592
25,0.156
26,3.925
27,31.183
28,26.339
29,2.051
