,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,0.131,2.388,0.495,0.15,24.443,0.506,0.166,16.172,0.175,47.52
1,0.12,0.219,0.66,0.606,0.158,0.569,0.155,34.191,26.897,1086.511
2,0.13,0.251,8.204,0.148,6.184,0.452,34.631,10.211,0.175,34.815
3,0.137,0.169,0.142,0.738,9.327,8.372,0.16,33.533,25.923,71.885
4,0.114,0.121,49.565,1.844,0.134,0.501,0.507,15.921,0.159,23.86
5,0.118,5.69,0.608,12.984,0.142,4.004,0.169,10.034,0.169,41.295
6,0.107,0.237,22.772,0.489,8.035,63.075,0.182,116.514,0.172,35.764
7,0.124,0.237,604.534,0.68,2.869,24.14,0.162,805.979,1039.892,1027.198
8,0.104,177.139,0.798,0.134,6.022,6.12,0.152,10.387,26.489,11.45
9,0.13,6.41,0.142,55.164,8.136,0.439,0.568,15.786,990.508,69.881
10,0.131,0.813,12.177,0.352,6.027,0.445,962.175,19.909,25.938,35.053
11,0.132,0.227,3.291,276.458,4.398,33.899,0.542,33.9,0.169,1330.17
12,0.123,10.609,5.698,0.15,0.142,1.479,42.946,10.525,0.146,1081.051
13,0.118,0.129,0.124,0.147,15.053,0.541,7.044,9.98,0.162,12.233
14,0.1,0.206,2.23,6.806,0.14,55.313,1008.685,10.697,26.343,31.676
15,0.109,0.244,300.33,0.824,6.275,0.617,1070.532,32.519,0.184,10.441
16,0.115,0.116,2.914,1.524,7.637,0.433,0.153,15.715,1092.317,64.284
17,0.132,0.205,1.203,2.031,462.665,25.887,56.456,34.186,0.152,10.342
18,0.123,0.125,0.132,0.155,0.148,5.587,0.486,0.167,0.177,65.619
19,0.119,0.24,0.133,27.062,33.179,0.675,0.521,16.674,0.171,10.026
20,0.118,1.229,1.292,0.668,0.608,143.377,0.172,0.161,0.162,78.118
21,0.1,1.178,0.155,0.152,33.451,1.088,0.166,16.868,1019.524,10.177
22,0.129,0.127,134.113,0.458,4440.376,0.528,94.312,16.5,1001.431,32.767
23,0.117,0.115,0.133,0.163,3.027,91.828,39.172,34.957,0.175,1055.912
24,0.119,0.121,9.22,0.695,12.774,7.125,0.17,15.807,27.436,1368.175
25,0.133,0.115,1.837,33.244,8.116,1.98,0.402,33.807,26.951,14.003
26,0.129,8.43,2.323,26.739,1.244,0.364,53.17,16.113,973.61,120.551
27,0.126,0.222,2.008,356.004,0.148,9.605,0.482,0.158,981.825,46.107
28,0.12,0.108,14.036,0.152,0.151,0.404,0.39,35.039,38.699,54.727
29,0.121,1.586,0.647,0.469,0.652,3.585,0.38,33.96,26.524,33.255
mean,0.12096666666666667,7.300200000000004,39.39720000000001,26.906333333333336,170.05536666666666,16.43126666666667,112.50693333333334,48.54566666666667,245.08849999999995,263.8288666666666
