,8-RS
0,272.747
1,19.193
2,49.557
3,267.883
4,23.163
5,0.131
6,271.849
7,351.174
8,55.096
9,30.182
10,21.593
11,29.131
12,34.346
13,32.47
14,52.907
15,0.133
16,181.575
17,14.714
18,139.103
19,0.134
20,53.111
21,22.551
22,0.13
23,30.429
24,277.884
25,44.343
26,0.14
27,11.377
28,61.101
29,145.355
