,2-TP
0,2.388
1,0.219
2,0.251
3,0.169
4,0.121
5,5.69
6,0.237
7,0.237
8,177.139
9,6.41
10,0.813
11,0.227
12,10.609
13,0.129
14,0.206
15,0.244
16,0.116
17,0.205
18,0.125
19,0.24
20,1.229
21,1.178
22,0.127
23,0.115
24,0.121
25,0.115
26,8.43
27,0.222
28,0.108
29,1.586
