,3-RS
0,34.869
1,34.822
2,0.144
3,12.681
4,35.755
5,1105.743
6,4.524
7,34.249
8,2.301
9,33.676
10,0.143
11,4189.356
12,6.304
13,42.677
14,18.257
15,55.43
16,0.176
17,0.181
18,16.408
19,46.041
20,3.569
21,1.483
22,36.128
23,7.591
24,23.935
25,20.262
26,33.489
27,2.759
28,6.344
29,33.587
