,4-RS
0,17.43
1,3.299
2,6.49
3,25.332
4,55.963
5,116.40899999999999
6,409.537
7,1.31
8,24.787
9,1.221
10,9.466
11,45.227
12,21.574
13,31.204
14,14.176
15,16.133
16,1.47
17,977.814
18,48.164
19,0.77
20,25.527
21,12.779
22,23.568
23,33.92
24,1058.325
25,59.647
26,20.833
27,1.619
28,6.311
29,1.112
