,8-PV
0,16.056
1,10.524
2,31.923
3,34.94
4,17.128
5,16.27
6,110.055
7,33.68
8,758.527
9,19.914
10,10.621
11,10.084
12,32.889
13,10.074
14,9.526
15,10.253
16,15.287
17,30.934
18,16.147
19,0.166
20,0.157
21,15.48
22,16.158
23,30.545
24,16.913
25,32.455
26,16.187
27,35.191
28,31.644
29,32.028
