,10-RS
0,0.124
1,0.11
2,0.101
3,0.12
4,0.106
5,0.113
6,0.121
7,0.119
8,0.089
9,0.104
10,0.093
11,0.1
12,0.099
13,0.099
14,0.115
15,0.102
16,0.127
17,0.099
18,0.101
19,0.102
20,0.107
21,0.096
22,0.093
23,0.096
24,0.096
25,0.098
26,0.104
27,0.102
28,0.102
29,0.094
