,5-RS
0,20.108
1,2.741
2,15.154
3,12.551
4,7.721
5,1.207
6,15.703
7,0.146
8,215.639
9,8.929
10,19.574
11,3.716
12,0.148
13,12.621
14,8.731
15,5.939
16,6.885
17,0.155
18,0.146
19,6.454
20,206.39600000000002
21,9.016
22,12.518
23,13.429
24,0.156
25,3.27
26,16.246
27,14.469
28,1.506
29,0.129
