,2-RS
0,0.115
1,0.107
2,0.1
3,0.099
4,0.102
5,0.105
6,0.102
7,0.098
8,0.099
9,0.106
10,0.098
11,0.115
12,0.099
13,0.087
14,0.11
15,0.1
16,0.097
17,0.09
18,0.106
19,0.11
20,0.103
21,0.104
22,0.106
23,0.099
24,0.102
25,0.087
26,0.099
27,0.093
28,0.096
29,0.108
