,4-JV
0,48.181
1,36.1
2,69.367
3,10.595
4,23.348
5,73.565
6,15.042
7,13.138
8,73.985
9,68.618
10,10.807
11,83.451
12,12.754
13,13.609
14,39.148
15,117.809
16,33.762
17,12.491
18,73.143
19,43.049
20,10.972
21,35.869
22,11.056
23,72.94800000000001
24,22.525
25,29.852
26,13.664
27,65.008
28,114.03399999999999
29,32.26
