,1-JV,2-JV,3-JV,4-JV,5-JV,6-JV
0,0.268,3.859,33.46,48.181,19.159,7.35
1,13.645,4.665,0.173,36.1,21.882,39.041
2,0.22,9.356,0.146,69.367,13.288,75.345
3,6.098,3.892,22.21,10.595,21.15,17.953
4,0.869,0.124,122.329,23.348,19.407,81.47
5,0.154,0.36,0.172,73.565,18.64,106.376
6,0.135,9.82,25.263,15.042,25.653,27.996
7,0.162,0.123,3.214,13.138,24.472,89.767
8,0.236,13.055,32.015,73.985,18.857,64.278
9,0.992,14.189,823.519,68.618,20.95,42.904
10,0.626,267.699,19.485,10.807,19.808,83.712
11,0.146,0.525,0.186,83.451,21.389,48.136
12,47.899,0.183,3.626,12.754,20.635,38.376
13,0.131,53.738,13.391,13.609,21.472,62.563
14,0.156,15.426,60.183,39.148,,37.843
15,6.927,2.493,0.266,117.809,,46.042
16,1.47,11.512,0.318,33.762,,22.072
17,540.514,15.2,64.412,12.491,,78.749
18,1.748,6.269,0.136,73.143,,49.133
19,0.153,3.248,19.372,43.049,,
20,7.919,0.572,0.174,10.972,,
21,2.085,0.483,0.16,35.869,,
22,0.714,1080.293,60.787,11.056,,
23,19.157,5.985,0.244,72.94800000000001,,
24,0.129,9.592,45.17,22.525,,
25,0.13,0.156,58.464,29.852,,
26,2.227,3.925,0.186,13.664,,
27,0.223,31.183,24.704,65.008,,
28,0.608,26.339,0.177,114.034,,
29,2.58,2.051,57.179,32.26,,
mean,21.944033333333337,53.21049999999999,49.70403333333333,42.671666666666674,20.482999999999997,53.637157894736845
