,6-RS
0,5.957
1,5.085
2,1.812
3,29.907
4,9.849
5,1.4
6,3.212
7,7.267
8,1.504
9,9.286
10,8.92
11,3.362
12,3.719
13,2.389
14,3.67
15,8.402
16,1.123
17,8.989
18,54.17
19,38.914
20,8.793
21,8.721
22,6.123
23,3.016
24,8.926
25,36.322
26,7.309
27,8.109
28,38.672
29,8.587
