,7-RS
0,359.718
1,0.149
2,638.309
3,2.868
4,69.004
5,2.635
6,59.116
7,58.0
8,59.48
9,0.152
10,0.133
11,2.601
12,0.129
13,60.466
14,61.325
15,59.518
16,62.528999999999996
17,32.277
18,0.132
19,81.444
20,59.517
21,253.151
22,0.133
23,56.886
24,61.612
25,57.86
26,0.132
27,0.137
28,0.107
29,56.14
