,No. of Results Size (RS),Avg. queries exection time(sec)
0,1,0.09913333333333334
1,2,0.10140000000000003
2,3,194.7628
3,4,102.3805666666667
4,5,21.380099999999995
5,6,11.4505
6,7,71.85533333333335
7,8,83.11673333333334
8,9,48.67309999999999
9,10,0.1044
