,9k-RS
0,1835.0
1,965.0
2,496.0
3,112.0
4,865.0
5,369.0
6,278.0
7,294.0
8,158.0
9,57.0
10,210.0
11,272.0
12,69.0
13,269.0
14,37.0
15,85.0
16,96.0
17,379.0
18,1064.0
19,197.0
20,197.0
21,61.0
22,112.0
23,266.0
24,158.0
25,78.0
26,262.0
27,196.0
28,69.0
29,87.0
