,4k-RS
0,4197.0
1,126.0
2,47.0
3,761.0
4,79.0
5,2019.0
6,136.0
7,56.0
8,69.0
9,55.0
10,263.0
11,82.0
12,47.0
13,89.0
14,61.0
15,51.0
16,54.0
17,638.0
18,59.0
19,365.0
20,112.0
21,73.0
22,237.0
23,5836.0
24,67.0
25,59.0
26,311.0
27,609.0
28,1243.0
29,71.0
