,10k-RS
0,1470.0
1,184.0
2,296.0
3,139.0
4,1783.0
5,123.0
6,309.0
7,279.0
8,210.0
9,251.0
10,113.0
11,238.0
12,303.0
13,137.0
14,232.0
15,108.0
16,93.0
17,258.0
18,472.0
19,212.0
20,109.0
21,74.0
22,359.0
23,317.0
24,241.0
25,88.0
26,287.0
27,596.0
28,174.0
29,67.0
